rgiid v0 a03 flag tauv5 tv_err dv7 dv_err tauA9 ta_err dA11 da_err id13 tau e15 beta c17 id bt19  
14.11566 0.370862 4.45 0 99.00230592009854 0.24579210718894137 0.17812699300968454 0.00007541868460936874 136.21051089483294 0.6181040521155607 1.0994371093145792 0.0010322932573032502 14.11566 1199.990000 5097.996269 0.010 0.0000130 14.11566 -4.197365  
14.11567 1.154255 11.52 0 102.55486929189573 0.40152894564466857 0.24893938156088224 0.00016970678912519704 132.1028795201984 0.925838585070844 1.5627683006826354 0.0022232541990504103 14.11567 1399.990000 5174.350871 0.005 0.0000061 14.11567 -3.326811  
14.11571 0.289788 3.75 0 60.425775868849 0.2308269464266551 0.0673997221745092 0.000033193624909031645 109.99691376837136 1.41373642333053 0.7709868829960612 0.001798762500073583 14.11571 1799.990000 5103.299834 0.005 0.0000069 14.11571 -2.299391  
14.11573 4.56902 22.52 0 131.08837014574584 0.5516291858068186 0.6483191625860927 0.0005511383293788171 199.02361201529746 2.2016597343076088 1.6233018927383407 0.004769012336232807 14.11573 3199.990000 5252.634072 0.005 0.0000052 14.11573 -4.207409  
14.11577 0.477565 5.96 0 46.767651416394635 0.17583795255808404 0.07503212935032573 0.000031642282537682465 84.55878176197645 0.8897713258504415 0.7019277399586881 0.00114957723390856 14.11577 1199.990000 5409.359208 0.005 0.0000122 14.11577 -2.789283  
14.11578 0.309239 3.15 0 46.48404872130232 0.17374245825604182 0.06045589477982089 0.000025262362402475172 77.38106133877862 0.8286465923142565 0.4508716307001995 0.0007144784715949049 14.11578 1199.990000 5450.270032 0.009 0.0000087 14.11578 -3.562588  
14.11584 0.565497 5.3 0 125.36371057561495 0.5857120917564896 0.32632133716142026 0.00029960898639808727 204.97033808561628 2.2414285676786214 1.909509782368948 0.0056596570642016295 14.11584 1999.990000 5368.211658 0.008 0.0000087 14.11584 -4.057232  
14.11591 0.776644 6.15 0 99.64080410490004 0.6327660152957558 0.24941998519710287 0.00027114654827818576 146.12169464862146 1.9207794422852564 1.2949722657166982 0.0036821466267939955 14.11591 1799.990000 5340.667478 0.007 0.0000113 14.11591 -3.648207  
14.11593 0.723863 6.36 0 118.90574845254389 0.4301316278278865 0.4158884456492955 0.00028623455229419265 169.6320318619234 1.5402478494124399 1.8755170982023521 0.0040590616268387555 14.11593 1799.990000 5205.356173 0.010 0.0000095 14.11593 -3.746114  
14.11606 9.666562 38.81 0 436.3830961666258 0.6553650339915706 3.8349803113877927 0.002648200277098598 679.2864811608724 5.217183800704391 7.461536283751096 0.033841405322192035 14.11606 3599.990000 5230.370682 0.006 0.0000043 14.11606 -5.632998  
14.11611 0.964826 7.75 0 141.53225513511384 0.5407733674590689 0.4786822685901065 0.00038768296425400046 180.75195119970178 1.671824500282237 2.194564000028276 0.005047934455078008 14.11611 2799.990000 5461.631150 0.008 0.0000095 14.11611 -3.384729  
14.11615 0.306753 3.76 0 86.94470551708258 0.2473601712530296 0.1146762528174485 0.00005159654704802321 130.1117087301802 1.3145163908612871 0.8411689764831448 0.0017088529077009037 14.11615 2199.990000 5444.483146 0.006 0.0000087 14.11615 -2.076161  
14.11617 1.006778 10.1 0 158.06494350598078 0.8126205559342999 0.40490444952632276 0.0004736674868963624 180.4306313584772 1.5246550813254485 1.8483552598198072 0.0038795721579997795 14.11617 1799.990000 5466.299491 0.006 0.0000130 14.11617 -2.680657  
14.12198 0.566525 5.16 0 74.58289303439265 0.3267895145389622 0.1355835556968579 0.00008610146554168263 107.70641494107389 0.9190681771761543 0.6989883369683132 0.0010691896561613424 14.12198 1999.990000 5464.617082 0.007 0.0000043 14.12198 -3.289131  
14.12323 0.573882 5.12 0 89.38505473103054 0.39053187725317523 0.12065156025705573 0.00008470562943353761 139.43485738520607 1.5993227219965243 0.6547104460288101 0.001576835320511996 14.12323 1999.990000 4923.520845 0.005 0.0000052 14.12323 -2.571084  
14.12331 0.617031 5.81 0 58.05625058217102 0.11691378618976468 0.10351690154040245 0.00002629215249305386 74.98447949207947 0.5863932319582673 0.6337730766848789 0.0007205091148723938 14.12331 1599.990000 5166.873214 0.008 0.0000095 14.12331 -3.717986  
14.12349 0.206754 2.58 0 101.24764918516074 0.32526925549965574 0.12148594658739394 0.00006744364033437886 161.6878787305339 1.3813772440537504 1.2453877124613824 0.002457165769252706 14.12349 3999.990000 5105.986505 0.007 0.0000104 14.12349 -1.592486  
14.12355 0.995087 7.19 0 188.71611218223543 0.3884710412559771 0.44152735789490294 0.00023273152483496774 263.40150966353195 2.665694867835292 1.7727880820172837 0.005809354232376639 14.12355 3399.990000 5377.023737 0.006 0.0000052 14.12355 -2.848197  
14.12357 0.364938 4.29 0 58.110947649251955 0.14228871886894573 0.07962913760467098 0.00002460405419291407 94.84891230618506 0.5165085532767718 0.6006329141506029 0.0005439905221399996 14.12357 1399.990000 5577.133330 0.009 0.0000122 14.12357 -4.262011  
14.12361 0.805167 7.65 0 89.43816460162634 0.19290967977174914 0.20038465644920103 0.00006947560352697461 98.84703297767085 0.7802909628605669 0.9787480345581889 0.0013164071007165982 14.12361 2599.990000 4964.203566 0.010 0.0000095 14.12361 -4.355087  
14.12365 0.817089 9.27 0 47.596435700290655 0.2813513404172146 0.16677089501683842 0.00011162292446857782 76.35382202500571 0.9787851717262361 0.9390846509737848 0.0017680012373596152 14.12365 1599.990000 5250.435222 0.007 0.0000104 14.12365 -4.742711  
14.12409 0.374149 3.98 0 87.66507122336127 0.2119725255496584 0.1522902907534759 0.00005851234986688329 109.79249244860195 0.6862233467818178 1.0309889801342378 0.0011684286382012776 14.12409 1799.990000 5326.125766 0.010 0.0000087 14.12409 -3.162895  
14.12522 0.371516 4.39 0 48.60611125297918 0.2732474155143027 0.08132562823602434 0.00005235571000710792 85.08603201629283 1.206297413748649 0.6328235729696271 0.001401365656823784 14.12522 2399.990000 5975.188967 0.006 0.0000130 14.12522 -2.203789  
14.26838 0.938636 7.54 0 88.04163721079563 0.15388849724491435 0.2488832003816492 0.00006929598254637605 116.70795439200919 0.9123097755003857 1.0229232390874814 0.001504226017631768 14.26838 1399.990000 5610.539600 0.010 0.0000087 14.26838 -4.753937  
14.26843 0.577869 5.84 0 96.43647307647609 0.2357842855303676 0.1698754702095072 0.00006975085182941462 134.85443538142565 0.9473185459842938 0.8452346033912824 0.0012208652129864976 14.26843 1199.990000 5554.537057 0.008 0.0000130 14.26843 -3.713199  
14.26847 1.024431 8.84 0 91.27324717892657 0.5651518548622231 0.46350271341332894 0.0004667804148601652 145.04707152878217 1.9360464652770708 2.083009847824811 0.00598593922586434 14.26847 1599.990000 5544.264107 0.010 0.0000069 14.26847 -4.647785  
14.26855 1.575576 14.23 0 84.67602664456214 0.42233985685415104 0.49195740828245255 0.00038220802336708755 121.22783881301916 1.4362481186280045 2.525161113322813 0.005759466717115381 14.26855 2599.990000 5648.079024 0.007 0.0000122 14.26855 -3.657062  
